Perkembangan Harga Pangan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Periode,,02 Januari 2020 - 19 Jun 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provinsi,,DKI Jakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kabupaten/Kota,,Kota Jakarta Pusat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasar,,"Pasar Jatinegara, Pasar Kramatjati, Pasar Minggu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tipe Laporan,,Laporan Harian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Komoditas(Rp),02/01/2020,03/01/2020,06/01/2020,07/01/2020,08/01/2020,09/01/2020,10/01/2020,13/01/2020,14/01/2020,15/01/2020,16/01/2020,17/01/2020,20/01/2020,21/01/2020,22/01/2020,23/01/2020,24/01/2020,27/01/2020,28/01/2020,29/01/2020,30/01/2020,31/01/2020,03/02/2020,04/02/2020,05/02/2020,06/02/2020,07/02/2020,10/02/2020,11/02/2020,12/02/2020,13/02/2020,14/02/2020,17/02/2020,18/02/2020,19/02/2020,20/02/2020,21/02/2020,24/02/2020,25/02/2020,26/02/2020,27/02/2020,28/02/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,23/03/2020,24/03/2020,26/03/2020,27/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,04/05/2020,05/05/2020,06/05/2020,08/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,18/05/2020,19/05/2020,20/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020
VIII,Cabai Rawit," Rp42,900 "," Rp47,900 "," Rp59,150 "," Rp55,850 "," Rp56,650 "," Rp57,900 "," Rp57,900 "," Rp57,900 "," Rp58,750 "," Rp62,100 "," Rp64,600 "," Rp64,600 "," Rp64,600 "," Rp69,150 "," Rp70,000 "," Rp73,350 "," Rp76,650 "," Rp77,500 "," Rp73,350 "," Rp69,150 "," Rp69,150 "," Rp69,150 "," Rp70,000 "," Rp71,650 "," Rp71,650 "," Rp71,650 "," Rp71,650 "," Rp61,650 "," Rp60,400 "," Rp60,400 "," Rp58,350 "," Rp57,900 "," Rp57,500 "," Rp57,500 "," Rp53,350 "," Rp50,000 "," Rp46,650 "," Rp47,100 "," Rp46,250 "," Rp45,850 "," Rp45,400 "," Rp46,650 "," Rp44,600 "," Rp44,600 "," Rp44,600 "," Rp44,600 "," Rp45,000 "," Rp45,000 "," Rp45,000 "," Rp45,850 "," Rp46,650 "," Rp46,250 "," Rp47,500 "," Rp48,350 "," Rp50,850 "," Rp50,850 "," Rp50,000 "," Rp52,500 "," Rp56,650 "," Rp56,650 "," Rp55,850 "," Rp50,000 "," Rp50,850 "," Rp51,650 "," Rp50,850 "," Rp50,850 "," Rp50,000 "," Rp50,850 "," Rp51,650 "," Rp49,150 "," Rp48,750 "," Rp48,750 "," Rp47,500 "," Rp45,000 "," Rp42,900 "," Rp40,400 "," Rp40,400 "," Rp40,850 "," Rp40,000 "," Rp37,100 "," Rp35,400 "," Rp35,400 "," Rp35,000 "," Rp35,000 "," Rp55,850 "," Rp33,350 "," Rp33,350 "," Rp34,600 "," Rp32,500 "," Rp32,500 "," Rp32,500 "," Rp31,650 "," Rp30,850 "," Rp31,250 "," Rp32,900 "," Rp36,650 "," Rp34,150 "," Rp34,600 "," Rp33,750 "," Rp32,500 "," Rp30,000 "," Rp30,000 "," Rp30,850 "," Rp30,850 "," Rp28,750 "," Rp28,750 "," Rp28,750 "," Rp27,100 "," Rp27,100 "," Rp27,100 "," Rp26,650 "," Rp26,650 "," Rp26,650 "," Rp26,650 "
1,Cabai Rawit Hijau (kg)," Rp35,000 "," Rp38,350 "," Rp50,000 "," Rp43,350 "," Rp41,650 "," Rp39,150 "," Rp39,150 "," Rp39,150 "," Rp39,150 "," Rp39,150 "," Rp39,150 "," Rp39,150 "," Rp39,150 "," Rp43,350 "," Rp43,350 "," Rp46,650 "," Rp48,350 "," Rp50,000 "," Rp45,000 "," Rp43,350 "," Rp43,350 "," Rp43,350 "," Rp45,000 "," Rp48,350 "," Rp48,350 "," Rp48,350 "," Rp48,350 "," Rp40,850 "," Rp40,850 "," Rp40,850 "," Rp41,650 "," Rp40,850 "," Rp40,850 "," Rp40,850 "," Rp40,850 "," Rp40,850 "," Rp42,500 "," Rp44,150 "," Rp44,150 "," Rp43,350 "," Rp42,500 "," Rp46,650 "," Rp42,500 "," Rp42,500 "," Rp42,500 "," Rp42,500 "," Rp43,350 "," Rp42,500 "," Rp42,500 "," Rp42,500 "," Rp42,500 "," Rp41,650 "," Rp38,350 "," Rp37,500 "," Rp37,500 "," Rp37,500 "," Rp37,500 "," Rp39,150 "," Rp40,000 "," Rp40,000 "," Rp40,000 "," Rp37,500 "," Rp37,500 "," Rp37,500 "," Rp36,650 "," Rp36,650 "," Rp35,000 "," Rp36,650 "," Rp37,500 "," Rp37,500 "," Rp38,350 "," Rp38,350 "," Rp36,650 "," Rp35,000 "," Rp32,500 "," Rp33,350 "," Rp33,350 "," Rp34,150 "," Rp32,500 "," Rp30,000 "," Rp32,500 "," Rp32,500 "," Rp32,500 "," Rp32,500 "," Rp30,850 "," Rp31,650 "," Rp31,650 "," Rp33,350 "," Rp31,650 "," Rp31,650 "," Rp31,650 "," Rp30,850 "," Rp30,850 "," Rp30,000 "," Rp30,000 "," Rp34,150 "," Rp30,000 "," Rp30,850 "," Rp30,850 "," Rp30,850 "," Rp28,350 "," Rp28,350 "," Rp28,350 "," Rp28,350 "," Rp26,650 "," Rp26,650 "," Rp26,650 "," Rp25,000 "," Rp25,000 "," Rp25,850 "," Rp25,850 "," Rp25,850 "," Rp25,850 "," Rp25,850 "
2,Cabai Rawit Merah (kg)," Rp50,850 "," Rp57,500 "," Rp68,350 "," Rp68,350 "," Rp71,650 "," Rp76,650 "," Rp76,650 "," Rp76,650 "," Rp78,350 "," Rp85,000 "," Rp90,000 "," Rp90,000 "," Rp90,000 "," Rp95,000 "," Rp96,650 "," Rp100,000 "," Rp105,000 "," Rp105,000 "," Rp101,650 "," Rp95,000 "," Rp95,000 "," Rp95,000 "," Rp95,000 "," Rp95,000 "," Rp95,000 "," Rp95,000 "," Rp95,000 "," Rp82,500 "," Rp80,000 "," Rp80,000 "," Rp75,000 "," Rp75,000 "," Rp74,150 "," Rp74,150 "," Rp65,850 "," Rp59,150 "," Rp50,850 "," Rp50,000 "," Rp48,350 "," Rp48,350 "," Rp48,350 "," Rp46,650 "," Rp46,650 "," Rp46,650 "," Rp46,650 "," Rp46,650 "," Rp46,650 "," Rp47,500 "," Rp47,500 "," Rp49,150 "," Rp50,850 "," Rp50,850 "," Rp56,650 "," Rp59,150 "," Rp64,150 "," Rp64,150 "," Rp62,500 "," Rp65,850 "," Rp73,350 "," Rp73,350 "," Rp71,650 "," Rp62,500 "," Rp64,150 "," Rp65,850 "," Rp65,000 "," Rp65,000 "," Rp65,000 "," Rp65,000 "," Rp65,850 "," Rp60,850 "," Rp59,150 "," Rp59,150 "," Rp58,350 "," Rp55,000 "," Rp53,350 "," Rp47,500 "," Rp47,500 "," Rp47,500 "," Rp47,500 "," Rp44,150 "," Rp38,350 "," Rp38,350 "," Rp37,500 "," Rp37,500 "," Rp80,850 "," Rp35,000 "," Rp35,000 "," Rp35,850 "," Rp33,350 "," Rp33,350 "," Rp33,350 "," Rp32,500 "," Rp30,850 "," Rp32,500 "," Rp35,850 "," Rp39,150 "," Rp38,350 "," Rp38,350 "," Rp36,650 "," Rp34,150 "," Rp31,650 "," Rp31,650 "," Rp33,350 "," Rp33,350 "," Rp30,850 "," Rp30,850 "," Rp30,850 "," Rp29,150 "," Rp29,150 "," Rp28,350 "," Rp27,500 "," Rp27,500 "," Rp27,500 "," Rp27,500 "
IX,Minyak Goreng," Rp13,050 "," Rp13,050 "," Rp13,400 "," Rp13,850 "," Rp13,850 "," Rp13,850 "," Rp13,900 "," Rp13,900 "," Rp14,050 "," Rp14,050 "," Rp14,050 "," Rp14,050 "," Rp14,050 "," Rp14,050 "," Rp14,050 "," Rp14,050 "," Rp14,050 "," Rp14,050 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp13,800 "," Rp13,800 "," Rp13,800 "," Rp13,800 "," Rp13,800 "," Rp13,800 "," Rp13,800 "," Rp13,800 "," Rp13,800 "," Rp13,800 "," Rp13,750 "," Rp13,750 "," Rp13,750 "," Rp13,750 "," Rp13,750 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,750 "," Rp13,750 "," Rp13,750 "," Rp13,750 "," Rp13,750 "," Rp13,750 "," Rp13,750 "," Rp13,750 "," Rp13,750 "," Rp13,750 "," Rp13,750 "," Rp13,750 "," Rp13,750 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "," Rp13,700 "
1,Minyak Goreng Curah (kg)," Rp12,400 "," Rp12,400 "," Rp12,900 "," Rp13,750 "," Rp13,750 "," Rp13,750 "," Rp13,750 "," Rp13,750 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,900 "," Rp13,600 "," Rp13,600 "," Rp13,600 "," Rp13,600 "," Rp13,600 "," Rp13,600 "," Rp13,600 "," Rp13,600 "," Rp13,600 "," Rp13,600 "," Rp13,600 "," Rp13,600 "," Rp13,600 "," Rp13,600 "," Rp13,250 "," Rp13,250 "," Rp13,250 "," Rp13,250 "," Rp13,150 "," Rp13,150 "," Rp13,150 "," Rp13,150 "," Rp13,150 "," Rp13,150 "," Rp13,100 "," Rp13,100 "," Rp13,100 "," Rp13,100 "," Rp13,100 "," Rp12,900 "," Rp12,900 "," Rp12,900 "," Rp12,900 "," Rp12,900 "," Rp12,900 "," Rp12,900 "," Rp12,900 "," Rp12,750 "," Rp12,750 "," Rp12,750 "," Rp12,750 "," Rp12,750 "," Rp12,750 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,850 "," Rp12,650 "," Rp12,650 "," Rp12,650 "," Rp12,650 "," Rp12,650 "," Rp12,650 "," Rp12,650 "," Rp12,650 "," Rp12,750 "," Rp12,750 "," Rp12,750 "," Rp12,750 "," Rp12,750 "," Rp12,750 "," Rp12,750 "," Rp12,750 "," Rp12,750 "," Rp12,750 "," Rp12,750 "," Rp12,750 "," Rp12,750 "," Rp12,750 "," Rp12,750 "," Rp12,750 "," Rp12,750 "," Rp12,750 "
2,Minyak Goreng Kemasan Bermerk 1 (kg)," Rp13,350 "," Rp13,350 "," Rp13,650 "," Rp13,850 "," Rp13,850 "," Rp13,850 "," Rp13,900 "," Rp13,900 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,100 "," Rp14,100 "," Rp14,100 "," Rp14,100 "," Rp14,100 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "
3,Minyak Goreng Kemasan Bermerk 2 (kg)," Rp13,350 "," Rp13,350 "," Rp13,650 "," Rp14,000 "," Rp14,000 "," Rp14,000 "," Rp14,100 "," Rp14,100 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,350 "," Rp14,350 "," Rp14,350 "," Rp14,350 "," Rp14,350 "," Rp14,350 "," Rp14,350 "," Rp14,350 "," Rp14,350 "," Rp14,350 "," Rp14,350 "," Rp14,350 "," Rp14,350 "," Rp14,350 "," Rp14,350 "," Rp14,350 "," Rp14,350 "," Rp14,350 "," Rp14,350 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,250 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "," Rp14,150 "
X,Gula Pasir," Rp14,350 "," Rp14,350 "," Rp14,350 "," Rp14,350 "," Rp14,350 "," Rp14,500 "," Rp14,500 "," Rp14,600 "," Rp14,900 "," Rp14,900 "," Rp14,900 "," Rp14,900 "," Rp14,900 "," Rp14,900 "," Rp14,900 "," Rp14,900 "," Rp14,900 "," Rp14,900 "," Rp14,900 "," Rp14,900 "," Rp14,900 "," Rp14,900 "," Rp14,900 "," Rp14,900 "," Rp14,900 "," Rp14,900 "," Rp14,900 "," Rp15,000 "," Rp15,000 "," Rp15,000 "," Rp15,000 "," Rp15,000 "," Rp15,000 "," Rp15,000 "," Rp15,100 "," Rp15,000 "," Rp15,000 "," Rp15,000 "," Rp15,000 "," Rp15,000 "," Rp15,000 "," Rp15,000 "," Rp15,650 "," Rp15,700 "," Rp15,750 "," Rp16,000 "," Rp16,550 "," Rp17,250 "," Rp17,250 "," Rp17,350 "," Rp17,400 "," Rp17,400 "," Rp17,400 "," Rp17,400 "," Rp17,600 "," Rp17,700 "," Rp18,500 "," Rp18,750 "," Rp18,750 "," Rp18,950 "," Rp18,950 "," Rp18,950 "," Rp18,950 "," Rp18,900 "," Rp18,800 "," Rp18,900 "," Rp18,900 "," Rp19,050 "," Rp19,150 "," Rp19,200 "," Rp19,200 "," Rp19,200 "," Rp19,200 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp18,900 "," Rp18,900 "," Rp18,900 "," Rp18,900 "," Rp18,900 "," Rp18,900 "," Rp18,900 "," Rp18,900 "," Rp18,900 "," Rp18,900 "," Rp18,750 "," Rp18,750 "," Rp18,750 "," Rp18,750 "," Rp18,750 "," Rp18,750 "," Rp18,750 "," Rp18,650 "," Rp18,350 "," Rp18,350 "," Rp18,250 "," Rp17,850 "," Rp17,850 "," Rp17,650 "," Rp17,650 "," Rp17,500 "," Rp17,350 "," Rp17,150 "," Rp17,150 "," Rp17,150 "," Rp17,150 "
1,Gula Pasir Kualitas Premium (kg)," Rp14,600 "," Rp14,600 "," Rp14,600 "," Rp14,600 "," Rp14,600 "," Rp14,850 "," Rp14,850 "," Rp14,850 "," Rp15,100 "," Rp15,100 "," Rp15,100 "," Rp15,100 "," Rp15,100 "," Rp15,100 "," Rp15,100 "," Rp15,100 "," Rp15,100 "," Rp15,100 "," Rp15,100 "," Rp15,100 "," Rp15,100 "," Rp15,100 "," Rp15,100 "," Rp15,100 "," Rp15,100 "," Rp15,100 "," Rp15,100 "," Rp15,250 "," Rp15,250 "," Rp15,250 "," Rp15,250 "," Rp15,250 "," Rp15,250 "," Rp15,250 "," Rp15,250 "," Rp15,100 "," Rp15,100 "," Rp15,100 "," Rp15,100 "," Rp15,100 "," Rp15,100 "," Rp15,100 "," Rp15,400 "," Rp15,500 "," Rp15,500 "," Rp15,850 "," Rp16,650 "," Rp17,150 "," Rp17,150 "," Rp17,350 "," Rp17,500 "," Rp17,500 "," Rp17,500 "," Rp17,500 "," Rp17,650 "," Rp17,650 "," Rp18,500 "," Rp18,500 "," Rp18,500 "," Rp18,750 "," Rp18,750 "," Rp18,750 "," Rp18,750 "," Rp18,750 "," Rp18,600 "," Rp18,750 "," Rp18,750 "," Rp19,100 "," Rp19,100 "," Rp19,250 "," Rp19,250 "," Rp19,250 "," Rp19,250 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp18,850 "," Rp18,850 "," Rp18,850 "," Rp18,850 "," Rp18,850 "," Rp19,000 "," Rp19,000 "," Rp19,000 "," Rp19,000 "," Rp19,000 "," Rp19,000 "," Rp19,000 "," Rp19,000 "," Rp19,000 "," Rp19,000 "," Rp19,000 "," Rp19,000 "," Rp19,000 "," Rp18,650 "," Rp18,650 "," Rp18,650 "," Rp18,650 "," Rp18,650 "," Rp18,500 "," Rp18,500 "," Rp18,350 "," Rp18,150 "," Rp18,000 "," Rp18,000 "," Rp18,000 "," Rp18,000 "
2,Gula Pasir Lokal (kg)," Rp14,100 "," Rp14,100 "," Rp14,100 "," Rp14,100 "," Rp14,100 "," Rp14,150 "," Rp14,150 "," Rp14,350 "," Rp14,750 "," Rp14,750 "," Rp14,750 "," Rp14,750 "," Rp14,750 "," Rp14,750 "," Rp14,750 "," Rp14,750 "," Rp14,750 "," Rp14,750 "," Rp14,750 "," Rp14,750 "," Rp14,750 "," Rp14,750 "," Rp14,750 "," Rp14,750 "," Rp14,750 "," Rp14,750 "," Rp14,750 "," Rp14,750 "," Rp14,750 "," Rp14,750 "," Rp14,750 "," Rp14,750 "," Rp14,750 "," Rp14,750 "," Rp14,900 "," Rp14,900 "," Rp14,900 "," Rp14,900 "," Rp14,900 "," Rp14,900 "," Rp14,900 "," Rp14,900 "," Rp15,850 "," Rp15,900 "," Rp16,000 "," Rp16,150 "," Rp16,400 "," Rp17,350 "," Rp17,350 "," Rp17,350 "," Rp17,350 "," Rp17,350 "," Rp17,350 "," Rp17,350 "," Rp17,500 "," Rp17,750 "," Rp18,500 "," Rp19,000 "," Rp19,000 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,000 "," Rp19,000 "," Rp19,000 "," Rp19,000 "," Rp19,000 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,150 "," Rp19,000 "," Rp19,000 "," Rp19,000 "," Rp19,000 "," Rp19,000 "," Rp18,850 "," Rp18,850 "," Rp18,850 "," Rp18,850 "," Rp18,850 "," Rp18,500 "," Rp18,500 "," Rp18,500 "," Rp18,500 "," Rp18,500 "," Rp18,500 "," Rp18,500 "," Rp18,350 "," Rp18,000 "," Rp18,000 "," Rp17,850 "," Rp17,000 "," Rp17,000 "," Rp16,850 "," Rp16,850 "," Rp16,650 "," Rp16,500 "," Rp16,350 "," Rp16,350 "," Rp16,350 "," Rp16,350 "
